iter	Passed	Remaining
0	0	836
1	2	853
2	2	826
3	3	824
4	4	815
5	5	820
6	6	820
7	7	830
8	8	833
9	9	815
10	10	809
11	11	796
12	12	788
13	13	776
14	13	766
15	14	760
16	15	753
17	16	746
18	16	740
19	17	735
20	18	729
21	19	731
22	20	728
23	21	726
24	21	722
25	22	722
26	23	717
27	24	716
28	25	712
29	26	710
30	26	708
31	27	704
32	28	703
33	29	703
34	30	702
35	31	700
36	31	699
37	32	698
38	33	695
39	34	694
40	35	693
41	36	694
42	37	695
43	37	693
44	38	690
45	39	687
46	40	686
47	41	685
48	41	684
49	42	684
50	43	684
51	44	683
52	45	683
53	46	682
54	47	681
55	48	679
56	49	680
57	49	679
58	50	676
59	51	674
60	52	673
61	52	670
62	53	669
63	54	667
64	55	666
65	56	665
66	56	663
67	57	661
68	58	659
69	59	657
70	59	655
71	60	653
72	61	652
73	62	650
74	62	648
75	63	646
76	64	645
77	65	643
78	65	642
79	66	640
80	67	638
81	68	637
82	68	635
83	69	635
84	70	634
85	71	633
86	72	632
87	73	630
88	73	630
89	74	629
90	75	628
91	76	627
92	77	626
93	77	625
94	78	623
95	79	622
96	80	620
97	81	619
98	81	618
99	82	616
100	83	614
101	83	613
102	84	612
103	85	611
104	86	610
105	86	608
106	87	607
107	88	606
108	89	604
109	89	603
110	90	601
111	91	600
112	92	598
113	92	597
114	93	596
115	94	595
116	95	593
117	95	592
118	96	591
119	97	590
120	98	589
121	98	588
122	99	587
123	100	586
124	101	585
125	102	584
126	102	583
127	103	583
128	104	582
129	105	581
130	105	579
131	106	579
132	107	578
133	108	578
134	109	576
135	109	575
136	110	574
137	111	573
138	112	573
139	113	572
140	114	572
141	115	572
142	115	571
143	116	571
144	117	570
145	118	570
146	119	569
147	120	569
148	121	568
149	121	567
150	122	566
151	123	565
152	124	564
153	124	563
154	125	562
155	126	561
156	127	560
157	128	559
158	128	558
159	129	557
160	130	556
161	131	555
162	131	554
163	132	553
164	133	552
165	134	551
166	134	549
167	135	548
168	136	547
169	137	546
170	137	545
171	138	544
172	139	543
173	140	542
174	140	542
175	141	541
176	142	540
177	143	539
178	144	538
179	145	538
180	146	538
181	147	538
182	148	538
183	149	538
184	150	537
185	150	537
186	151	537
187	152	536
188	153	536
189	154	535
190	155	535
191	156	534
192	157	533
193	158	533
194	158	532
195	159	531
196	160	530
197	161	529
198	162	528
199	162	527
200	163	527
201	164	527
202	165	526
203	166	525
204	167	524
205	167	523
206	168	522
207	169	520
208	169	519
209	170	518
210	171	517
211	172	517
212	173	516
213	174	516
214	175	515
215	175	514
216	176	513
217	177	512
218	178	512
219	179	511
220	180	510
221	180	510
222	181	508
223	182	507
224	183	506
225	183	505
226	184	504
227	185	503
228	185	502
229	186	500
230	187	499
231	187	498
232	188	497
233	189	496
234	189	495
235	190	494
236	191	492
237	191	491
238	192	490
239	193	489
240	193	488
241	194	487
242	195	486
243	195	484
244	196	483
245	197	482
246	197	481
247	198	480
248	199	479
249	199	478
250	200	477
251	201	476
252	201	475
253	202	473
254	203	472
255	204	471
256	204	470
257	205	469
258	206	468
259	206	467
260	207	466
261	208	465
262	208	464
263	209	463
264	210	462
265	210	461
266	211	460
267	212	459
268	213	458
269	213	457
270	214	456
271	215	455
272	215	454
273	216	453
274	217	452
275	217	451
276	218	450
277	219	449
278	219	448
279	220	447
280	221	446
281	222	445
282	222	444
283	223	443
284	224	443
285	224	442
286	225	441
287	226	440
288	227	439
289	227	438
290	228	437
291	229	436
292	229	435
293	230	434
294	231	433
295	232	432
296	232	431
297	233	431
298	234	430
299	234	429
300	235	428
301	236	427
302	237	426
303	237	425
304	238	424
305	239	423
306	239	422
307	240	421
308	241	420
309	242	420
310	242	419
311	243	418
312	244	417
313	244	416
314	245	415
315	246	414
316	247	413
317	247	412
318	248	412
319	249	411
320	249	410
321	250	409
322	251	408
323	252	407
324	252	406
325	253	405
326	254	404
327	254	403
328	255	403
329	256	402
330	256	401
331	257	400
332	258	399
333	259	398
334	259	397
335	260	396
336	261	396
337	261	395
338	262	394
339	263	393
340	264	392
341	264	391
342	265	390
343	266	389
344	266	389
345	267	388
346	268	387
347	268	386
348	269	385
349	270	384
350	271	383
351	271	382
352	272	382
353	273	381
354	273	380
355	274	379
356	275	378
357	276	377
358	276	376
359	277	376
360	278	375
361	279	374
362	279	373
363	280	373
364	281	372
365	282	371
366	282	370
367	283	370
368	284	369
369	285	368
370	286	367
371	286	366
372	287	366
373	288	365
374	288	364
375	289	363
376	290	362
377	290	361
378	291	360
379	292	360
380	293	359
381	293	358
382	294	357
383	295	356
384	296	355
385	296	355
386	297	354
387	298	353
388	298	352
389	299	351
390	300	350
391	300	350
392	301	349
393	302	348
394	303	347
395	303	346
396	304	345
397	305	345
398	305	344
399	306	343
400	307	342
401	307	341
402	308	340
403	309	340
404	310	339
405	310	338
406	311	337
407	312	336
408	312	335
409	313	335
410	314	334
411	315	333
412	315	332
413	316	331
414	317	330
415	317	330
416	318	329
417	319	328
418	319	327
419	320	326
420	321	325
421	322	325
422	322	324
423	323	323
424	324	322
425	324	321
426	325	320
427	326	320
428	326	319
429	327	318
430	328	317
431	328	316
432	329	315
433	330	315
434	331	314
435	331	313
436	332	312
437	333	311
438	333	310
439	334	310
440	335	309
441	335	308
442	336	307
443	337	306
444	337	305
445	338	305
446	339	304
447	339	303
448	340	302
449	341	301
450	341	300
451	342	300
452	343	299
453	343	298
454	344	297
455	345	296
456	345	295
457	346	295
458	347	294
459	347	293
460	348	292
461	349	291
462	349	290
463	350	290
464	351	289
465	351	288
466	352	287
467	353	286
468	353	286
469	354	285
470	355	284
471	355	283
472	356	282
473	357	281
474	357	281
475	358	280
476	359	279
477	360	278
478	360	277
479	361	277
480	362	276
481	362	275
482	363	274
483	364	273
484	364	272
485	365	272
486	366	271
487	366	270
488	367	269
489	368	268
490	368	268
491	369	267
492	370	266
493	370	265
494	371	264
495	372	264
496	372	263
497	373	262
498	374	261
499	375	261
500	376	260
501	376	259
502	377	258
503	378	258
504	378	257
505	379	256
506	380	255
507	381	255
508	381	254
509	382	253
510	383	252
511	384	252
512	384	251
513	385	250
514	386	249
515	387	249
516	387	248
517	388	247
518	389	246
519	389	245
520	390	245
521	391	244
522	392	243
523	392	242
524	393	242
525	394	241
526	395	240
527	395	239
528	396	239
529	397	238
530	398	237
531	398	236
532	399	236
533	400	235
534	401	234
535	401	233
536	402	233
537	403	232
538	403	231
539	404	230
540	405	230
541	406	229
542	406	228
543	407	227
544	408	227
545	409	226
546	409	225
547	410	224
548	411	224
549	412	223
550	412	222
551	413	221
552	414	221
553	415	220
554	415	219
555	416	218
556	417	217
557	417	217
558	418	216
559	419	215
560	419	214
561	420	213
562	421	213
563	421	212
564	422	211
565	423	210
566	423	210
567	424	209
568	425	208
569	425	207
570	426	206
571	427	206
572	427	205
573	428	204
574	429	203
575	429	203
576	430	202
577	431	201
578	431	200
579	432	199
580	433	199
581	433	198
582	434	197
583	435	196
584	435	195
585	436	195
586	437	194
587	437	193
588	438	192
589	439	192
590	439	191
591	440	190
592	441	189
593	442	189
594	442	188
595	443	187
596	444	186
597	444	185
598	445	185
599	446	184
600	446	183
601	447	182
602	448	182
603	448	181
604	449	180
605	450	179
606	450	178
607	451	178
608	452	177
609	452	176
610	453	175
611	454	175
612	454	174
613	455	173
614	456	172
615	456	172
616	457	171
617	458	170
618	458	169
619	459	168
620	460	168
621	460	167
622	461	166
623	462	165
624	462	165
625	463	164
626	464	163
627	464	162
628	465	162
629	466	161
630	466	160
631	467	159
632	468	159
633	469	158
634	469	157
635	470	156
636	471	156
637	472	155
638	472	154
639	473	153
640	474	153
641	474	152
642	475	151
643	476	150
644	476	150
645	477	149
646	478	148
647	478	147
648	479	147
649	480	146
650	480	145
651	481	144
652	482	143
653	482	143
654	483	142
655	484	141
656	484	140
657	485	140
658	486	139
659	486	138
660	487	137
661	488	137
662	488	136
663	489	135
664	490	134
665	490	134
666	491	133
667	492	132
668	492	131
669	493	131
670	494	130
671	495	129
672	495	128
673	496	128
674	497	127
675	497	126
676	498	125
677	499	125
678	499	124
679	500	123
680	501	122
681	501	122
682	502	121
683	503	120
684	503	119
685	504	119
686	505	118
687	505	117
688	506	116
689	507	116
690	507	115
691	508	114
692	509	113
693	509	113
694	510	112
695	511	111
696	511	110
697	512	110
698	513	109
699	513	108
700	514	107
701	515	107
702	515	106
703	516	105
704	517	104
705	517	104
706	518	103
707	519	102
708	519	101
709	520	101
710	521	100
711	521	99
712	522	98
713	523	98
714	523	97
715	524	96
716	525	95
717	525	95
718	526	94
719	527	93
720	527	92
721	528	92
722	529	91
723	530	90
724	530	90
725	531	89
726	532	88
727	533	87
728	533	87
729	534	86
730	535	85
731	536	84
732	536	84
733	537	83
734	538	82
735	539	82
736	539	81
737	540	80
738	541	79
739	542	79
740	542	78
741	543	77
742	544	76
743	545	76
744	546	75
745	546	74
746	547	74
747	548	73
748	549	72
749	549	71
750	550	71
751	551	70
752	552	69
753	552	68
754	553	68
755	554	67
756	554	66
757	555	65
758	556	65
759	556	64
760	557	63
761	558	63
762	558	62
763	559	61
764	560	60
765	561	60
766	561	59
767	562	58
768	563	57
769	563	57
770	564	56
771	565	55
772	565	54
773	566	54
774	567	53
775	567	52
776	568	51
777	569	51
778	569	50
779	570	49
780	571	49
781	571	48
782	572	47
783	573	46
784	574	46
785	575	45
786	575	44
787	576	43
788	577	43
789	578	42
790	579	41
791	579	41
792	580	40
793	581	39
794	582	38
795	582	38
796	583	37
797	584	36
798	585	35
799	585	35
800	586	34
801	587	33
802	587	32
803	588	32
804	589	31
805	589	30
806	590	30
807	591	29
808	591	28
809	592	27
810	593	27
811	593	26
812	594	25
813	595	24
814	595	24
815	596	23
816	597	22
817	597	21
818	598	21
819	599	20
820	599	19
821	600	18
822	601	18
823	601	17
824	602	16
825	603	16
826	604	15
827	604	14
828	605	13
829	606	13
830	607	12
831	607	11
832	608	10
833	609	10
834	610	9
835	610	8
836	611	8
837	612	7
838	613	6
839	613	5
840	614	5
841	615	4
842	615	3
843	616	2
844	617	2
845	617	1
846	618	0
847	619	0
